,lake,year,date,depth,meanCH4,meanCO2,meanN2O,do_mgl,temp,doy,light,notes,manual_chl,surface_bga
525,Peter,2024,7/29/2024,9,33.15,253,0,0.3,4.6,211,0,,,
526,Peter,2024,7/29/2024,11,121,305,0,0.3,4.5,211,0,"bad reps, replaced with higher value",,
135,Paul,2019,7/11/2019,10,127.09,418.5,NA,0.15,5.1,192,0,,,
136,Paul,2019,7/11/2019,11.5,137.57,432.05,NA,0.1,5.1,192,0,,,
137,Paul,2019,7/18/2019,0,3.53,55,NA,6.28,25.7,199,0.81,,4.14,227.75
138,Paul,2019,7/18/2019,2.5,2.85,59.67,NA,5.84,23.8,199,0.09,,4.14,227.75
139,Paul,2019,7/18/2019,4.5,0.81,58.36,NA,10.99,11.9,199,0.02,,4.14,227.75
140,Paul,2019,7/18/2019,6.5,2.08,280.88,NA,0.21,7.2,199,0.004,,4.14,227.75
49,Paul,2018,8/1/2018,0,1.21,23.98,NA,6.83,23.3,213,0.89,,3.98,187.97
141,Paul,2019,7/18/2019,8,107.39,350.3,NA,0.1,5.7,199,0.0011,,4.14,227.75
435,Peter,2019,8/1/2019,16,464.83,534.29,NA,0.13,4.6,213,0,,,
142,Paul,2019,7/18/2019,9,114.3,355.21,NA,0.07,5.4,199,0.0005,,,
50,Paul,2018,8/1/2018,2.5,2,45.13,NA,6.45,22.3,213,0.13,,3.98,187.97
527,Peter,2024,7/29/2024,13,265.5,361,0,0.2,4.6,211,0,,,
51,Paul,2018,8/1/2018,4.5,1.39,27.46,NA,5.85,13.1,213,0.03,,3.98,187.97
143,Paul,2019,7/18/2019,10,161.51,386.14,NA,0.07,5.3,199,0,,,
52,Paul,2018,8/1/2018,6.5,1.97,13.34,NA,0.37,7,213,0.0078,,3.98,187.97
528,Peter,2024,7/29/2024,16,335.5,401.5,0,0.2,4.6,211,0,,,
248,Paul,2024,7/29/2024,0,1.2,27.85,0.00583,5.6,26.8,211,0.804,,,190.9
249,Paul,2024,7/29/2024,2.5,0.64,34.5,0.005855,5.8,23.8,211,0.198,,,190.9
250,Paul,2024,7/29/2024,4.5,0.13,43.7,0.00691,8.7,15.4,211,0.057,,,190.9
53,Paul,2018,8/1/2018,8,96.69,62.06,NA,0.07,5.5,213,0.0026,substituted erroneous CH4 (0.48) with mean of the week previous and following,3.98,187.97
144,Paul,2019,7/18/2019,11.5,185.68,419.64,NA,0.1,5.3,199,0,,,
330,Peter,2018,8/1/2018,15,564.51,463.48,NA,0.04,4.5,213,0,,,
54,Paul,2018,8/1/2018,9,197.71,512,NA,0.06,5.2,213,0.0012,"Bad reps, replaced with higher value",,
55,Paul,2018,8/1/2018,10,228.99,13.33,NA,0.05,5.1,213,0,substituted erroneous CH4 (0.64) with mean of the week previous and following,,
56,Paul,2018,8/1/2018,11.5,236.36,42.9,NA,0.1,5.1,213,0,substituted erroneous CH4 (1.38) with mean of the week previous and following,,
145,Paul,2019,7/25/2019,0,3.51,84.81,NA,6.11,24.4,206,0.79,,4.41,305.84
436,Peter,2019,8/8/2019,0,1.72,0,NA,8.43,24.1,220,0.72,,30.21,3533.965278
251,Paul,2024,7/29/2024,6.5,0.24,218,0,2.1,8.3,211,0.007,,,190.9
57,Paul,2018,8/8/2018,0,1.42,21.92,NA,7.75,23,220,0.83,,3.28,174.37
437,Peter,2019,8/8/2019,3.5,1.04,34.55,NA,10.82,13.6,220,0.01,,30.21,3533.965278
331,Peter,2018,8/1/2018,16,630.77,520.1,NA,0.04,4.5,213,0,,,
332,Peter,2018,8/8/2018,0,0.87,0,NA,7.61,22.6,220,0.87,,2.71,372.11
252,Paul,2024,7/29/2024,8,31.65,263,0,0.3,6.6,211,0.0036,,,190.9
253,Paul,2024,7/29/2024,9,84.9,263.5,0,0.2,5.9,211,0.0018,"Bad reps, replaced with higher value",,
146,Paul,2019,7/25/2019,2.5,2.08,90.74,NA,5.48,22.9,206,0.08,,4.41,305.84
58,Paul,2018,8/8/2018,2.5,1.22,0,NA,7.34,22,220,0.12,,3.28,174.37
59,Paul,2018,8/8/2018,4.5,1.19,88.82,NA,5.56,13.3,220,0.03,,3.28,174.37
254,Paul,2024,7/29/2024,11.5,143,333.5,0,0.2,5.4,211,0,,,
529,Peter,2024,8/5/2024,0,1.15,-2.61,0.007275,6.5,24.6,218,0.806,,,65461.33
60,Paul,2018,8/8/2018,6.5,0.35,280.94,NA,0.13,7.4,220,0.0062,,3.28,174.37
333,Peter,2018,8/8/2018,3.5,0.5,54.59,NA,10.38,16.6,220,0.07,,2.71,372.11
61,Paul,2018,8/8/2018,8,100.84,429.23,NA,0.08,5.7,220,0.0019,,3.28,174.37
62,Paul,2018,8/8/2018,9,241.14,413.41,NA,0.07,5.4,220,0.0009,,,
438,Peter,2019,8/8/2019,6,3.73,250.21,NA,0.12,6.1,220,0.0006,,30.21,3533.965278
63,Paul,2018,8/8/2018,10,241.86,385.56,NA,0.07,5.2,220,0,,,
530,Peter,2024,8/5/2024,3.5,0.07,98.8,0.00757,5.9,14.1,218,0.007,,,65461.33
334,Peter,2018,8/8/2018,6,1.03,281.4,NA,0.15,6.3,220,0.005,,2.71,372.11
531,Peter,2024,8/5/2024,6,0.8,217,0,0.3,6.2,218,0.0001,,,65461.33
532,Peter,2024,8/5/2024,9,41.45,262.5,0,0.2,4.7,218,0,,,
533,Peter,2024,8/5/2024,11,123,292,0,0.2,4.6,218,0,"bad reps, replaced with higher value",,
64,Paul,2018,8/8/2018,11.5,300.68,409.71,NA,0.1,5.2,220,0,,,
534,Peter,2024,8/5/2024,13,278,356,0,0.2,4.6,218,0,,,
439,Peter,2019,8/8/2019,9,104.39,178.65,NA,0.09,4.7,220,0,"bad rep, replaced with single valid measurement",,
147,Paul,2019,7/25/2019,4.5,0.95,83.59,NA,9.3,11.1,206,0.02,,4.41,305.84
535,Peter,2024,8/5/2024,16,298,388.5,0,0.2,4.6,218,0,,,
255,Paul,2024,8/5/2024,0,1.47,31,0.006195,5.1,24.2,218,0.655,,,201.79
256,Paul,2024,8/5/2024,2.5,1.31,33.65,0.005505,4.9,24.1,218,0.149,,,201.79
257,Paul,2024,8/5/2024,4.5,0.09,46.95,0.00667,7.6,16,218,0.039,,,201.79
258,Paul,2024,8/5/2024,6.5,0.04,204,0,2.4,8.4,218,0.011,,,201.79
259,Paul,2024,8/5/2024,8,53.65,286,0,0.4,6.6,218,0.0046,,,201.79
148,Paul,2019,7/25/2019,6.5,7.22,314.04,NA,0.25,6.4,206,0.004,,4.41,305.84
65,Paul,2018,8/15/2018,0,2.07,0,NA,6.6,25,227,0.75,,1.71,155.65
440,Peter,2019,8/8/2019,11,170.35,352.47,NA,0.07,4.6,220,0,,,
149,Paul,2019,7/25/2019,8,61.53,384.97,NA,0.16,5.6,206,0.0011,"Bad reps, replaced with higher value",4.41,305.84
260,Paul,2024,8/5/2024,9,87.6,283,0,0.3,5.8,218,0.0023,,,
335,Peter,2018,8/8/2018,9,65.13,387.2,NA,0.09,4.7,220,0,,,
336,Peter,2018,8/8/2018,11,160.81,366.21,NA,0.08,4.6,220,0,,,
337,Peter,2018,8/8/2018,13,315.64,428.37,NA,0.08,4.5,220,0,,,
441,Peter,2019,8/8/2019,13,320.7,444.35,NA,0.3,4.6,220,0,,,
150,Paul,2019,7/25/2019,9,119.15,430.43,NA,0.13,5.4,206,0.0005,,,
338,Peter,2018,8/8/2018,15,487.58,492.46,NA,0.07,4.6,220,0,,,
261,Paul,2024,8/5/2024,11.5,178.5,321.5,0,0.2,5.5,218,0,,,
151,Paul,2019,7/25/2019,10,145.75,480.19,NA,0.15,5.2,206,0,,,
66,Paul,2018,8/15/2018,2.5,2.2,0,NA,6.49,23.6,227,0.13,,1.71,155.65
67,Paul,2018,8/15/2018,4.5,1.31,0,NA,4.7,14.5,227,0.03,,1.71,155.65
442,Peter,2019,8/8/2019,15,348.06,467.03,NA,0.14,4.6,220,0,,,
536,Peter,2024,8/14/2024,0,0.59,48.1,0.00325,5.6,23.4,227,0.74,,,230.88
537,Peter,2024,8/14/2024,3.5,0.33,124.5,0.00307,4.8,14.1,227,0.019,,,230.88
443,Peter,2019,8/8/2019,16,421.05,505.42,NA,0.13,4.6,220,0,,,
152,Paul,2019,7/25/2019,11.5,149.23,448.2,NA,0.1,5.2,206,0,,,
153,Paul,2019,8/1/2019,0,2.49,72.26,NA,6.7,23.1,213,0.72,,5.11,332.56
154,Paul,2019,8/1/2019,2.5,2.32,58.17,NA,6.3,22.9,213,0.08,,5.11,332.56
68,Paul,2018,8/15/2018,6.5,0.58,0,NA,0.17,7.8,227,0.0081,,1.71,155.65
155,Paul,2019,8/1/2019,4.5,0.8,77.95,NA,9.95,11.9,213,0.02,,5.11,332.56
538,Peter,2024,8/14/2024,6,1.08,151.25,-0.003535,0.2,6.2,227,0.0013,"bad rep, replaced with single valid measurement",,230.88
539,Peter,2024,8/14/2024,9,53.6,318,0,0.2,4.7,227,0,,,
540,Peter,2024,8/14/2024,11,222.5,421,0,0.2,4.6,227,0,,,
541,Peter,2024,8/14/2024,13,324,473.5,0,0.2,4.6,227,0,,,
69,Paul,2018,8/15/2018,8,130.87,422.4,NA,0.08,5.9,227,0.0027,"bad reps, replaced with the lower value",1.71,155.65
262,Paul,2024,8/14/2024,0,1.1,29.05,0.002615,7.2,25.2,227,0.807,,,163.69
542,Peter,2024,8/14/2024,16,378,472.5,0,0.1,4.6,227,0,,,
263,Paul,2024,8/14/2024,2.5,0.97,30.2,0.0016,8.2,20.7,227,0.164,,,163.69
156,Paul,2019,8/1/2019,6.5,12.99,303.34,NA,0.33,7.2,213,0.005,,5.11,332.56
70,Paul,2018,8/15/2018,9,226.99,392.04,NA,0.07,5.5,227,0.0013,,,
444,Peter,2019,8/15/2019,0,1.45,44.43,NA,6.28,22,227,0.77,,4.40,654.2460027
264,Paul,2024,8/14/2024,4.5,0.26,89.1,0.0009585,9.8,17,227,0.042,,,163.69
265,Paul,2024,8/14/2024,6.5,0.12,268,-0.0037,1.3,9.1,227,0.011,,,163.69
157,Paul,2019,8/1/2019,8,74.24,356.51,NA,0.18,5.7,213,0.0014,,5.11,332.56
71,Paul,2018,8/15/2018,10,334.49,443.99,NA,0.07,5.3,227,0,,,
72,Paul,2018,8/15/2018,11.5,423.01,468.36,NA,0.1,5.3,227,0,,,
266,Paul,2024,8/14/2024,8,70.15,339.5,0,0.3,6.8,227,0.0035,,,163.69
267,Paul,2024,8/14/2024,9,95.3,NA,NA,0.2,6.8,227,0.0017,"value missing, average of week prior and after",,
445,Peter,2019,8/15/2019,3.5,0.78,82.76,NA,8.98,13.6,227,0.02,,4.40,654.2460027
268,Paul,2024,8/14/2024,11.5,187.75,NA,NA,0.1,6.8,227,0,"value missing, average of week prior and after",,
543,Peter,2024,8/19/2024,0,1,21,0.00516,8.1,22.7,232,0.839,,,908.77
446,Peter,2019,8/15/2019,6,3.47,257.18,NA,0.14,6,227,0.0014,,4.40,654.2460027
447,Peter,2019,8/15/2019,9,68.42,302.04,NA,0.09,4.7,227,0,,,
448,Peter,2019,8/15/2019,11,177.05,362.56,NA,0.09,4.6,227,0,,,
544,Peter,2024,8/19/2024,3.5,0.2,166,0.005195,6.4,14.5,232,0.024,,,908.77
449,Peter,2019,8/15/2019,13,320.5,432.04,NA,0.08,4.6,227,0,,,
158,Paul,2019,8/1/2019,9,117.34,365.2,NA,0.18,5.4,213,0.0006,,,
545,Peter,2024,8/19/2024,6,2.87,256,-0.003755,0.7,6.2,232,0.0015,,,908.77
159,Paul,2019,8/1/2019,10,183.21,432.09,NA,0.19,5.3,213,0,,,
339,Peter,2018,8/8/2018,16,512.16,518.55,NA,0.07,4.6,220,0,,,
450,Peter,2019,8/15/2019,15,428.83,475.88,NA,0.02,4.6,227,0,,,
160,Paul,2019,8/1/2019,11.5,176.03,431.66,NA,0.1,5.3,213,0,,,
161,Paul,2019,8/8/2019,0,2.28,45.99,NA,5.92,23.8,220,0.75,,6.00,305.49
162,Paul,2019,8/8/2019,2.5,2.14,51.87,NA,6.03,23.5,220,0.08,,6.00,305.49
451,Peter,2019,8/15/2019,16,392.1,499.83,NA,0.02,4.6,227,0,,,
163,Paul,2019,8/8/2019,4.5,0.44,106.35,NA,9.66,12.6,220,0.02,,6.00,305.49
546,Peter,2024,8/19/2024,9,44.7,297,0,0.5,4.7,232,0,,,
164,Paul,2019,8/8/2019,6.5,11.75,169.68,NA,0.13,7.3,220,0.004,"suspicious CH4 values (0.52) for anoxic conditions, replaced with mean of week before and after",6.00,305.49
165,Paul,2019,8/8/2019,8,108.52,371.84,NA,0.11,6,220,0.0011,,6.00,305.49
166,Paul,2019,8/8/2019,9,125.97,409.49,NA,0.25,5.6,220,0.0005,,4.32,
452,Peter,2019,8/22/2019,0,1.27,41.31,NA,6.83,21.3,234,0.82,,4.32,832.15625
167,Paul,2019,8/8/2019,10,174.15,386.32,NA,0.18,5.1,220,0,,,
547,Peter,2024,8/19/2024,11,253.5,411,0,0.3,4.6,232,0,,,
168,Paul,2019,8/8/2019,11.5,199.98,419.3,NA,0.1,5.1,220,0,,6.002686259,
169,Paul,2019,8/15/2019,0,1.84,31.62,NA,6.64,21.8,227,0.77,,7.41,353.64
340,Peter,2018,8/15/2018,0,1.66,0,NA,6.89,25,227,0.79,,1.83,326.33
269,Paul,2024,8/19/2024,0,2.12,26.15,0.001205,7.4,22.9,232,0.785,,,339.2
548,Peter,2024,8/19/2024,13,351,461,0,0.25,4.6,232,0,,,
270,Paul,2024,8/19/2024,2.5,1.13,30.6,0.001565,7.5,21.3,232,0.146,,,339.2
170,Paul,2019,8/15/2019,2.5,1.91,38.05,NA,6.01,21.7,227,0.11,,7.41,353.64
171,Paul,2019,8/15/2019,4.5,0.52,93.52,NA,8.1,12.4,227,0.03,,7.41,353.64
549,Peter,2024,8/19/2024,16,396.5,468.5,0,0.4,4.6,232,0,,,
172,Paul,2019,8/15/2019,6.5,10.5,277.67,NA,0.31,7.5,227,0.01,,7.41,353.64
453,Peter,2019,8/22/2019,3.5,0.95,70.11,NA,9.42,14.3,234,0.04,,4.32,832.15625
173,Paul,2019,8/15/2019,8,84.02,346.23,NA,0.11,6,227,0.0037,,7.41,353.64
174,Paul,2019,8/15/2019,9,152.35,394.68,NA,0.12,5.7,227,0.0018,,,
271,Paul,2024,8/19/2024,4.5,0.47,65.95,0.0007295,8.5,17.1,232,0.037,,,339.2
341,Peter,2018,8/15/2018,3.5,0.76,0,NA,9.32,17.9,227,0.05,,1.83,326.33
272,Paul,2024,8/19/2024,6.5,0.1,285.5,0,1.8,9.5,232,0.01,,,339.2
175,Paul,2019,8/15/2019,10,181.42,405.53,NA,0.09,5.4,227,0,,,
342,Peter,2018,8/15/2018,6,1.24,0,NA,0.66,6.7,227,0.0055,,1.83,326.33
454,Peter,2019,8/22/2019,6,3.07,222.3,NA,0.33,6.4,234,0.0032,,4.32,832.15625
455,Peter,2019,8/22/2019,9,80.13,296.92,NA,0.14,4.7,234,0,,,
176,Paul,2019,8/15/2019,11.5,163.97,382.25,NA,0.1,5.4,227,0,,,
456,Peter,2019,8/22/2019,11,202.09,351.56,NA,0.13,4.6,234,0,,,
343,Peter,2018,8/15/2018,9,35.45,360.47,NA,0.08,5,227,0,,,
344,Peter,2018,8/15/2018,11,,567.45,NA,0.07,4.8,227,0,suspiciously high CH4 value (391.31) removed to interpolate,,
457,Peter,2019,8/22/2019,13,335.96,437.64,NA,0.1,4.6,234,0,,,
458,Peter,2019,8/22/2019,15,435.17,485.79,NA,0.11,4.6,234,0,,,
273,Paul,2024,8/19/2024,8,92.3,329.5,0,0.6,6.8,232,0.0022,,,339.2
274,Paul,2024,8/19/2024,9,103,310.5,0,0.4,5.9,232,0.001,,,
345,Peter,2018,8/15/2018,13,518.26,614.52,NA,0.07,4.6,227,0,"bad reps, replaced with lower value",,
459,Peter,2019,8/29/2019,0,1.31,22.68,NA,7.81,18.4,241,0.82,,13.56,1729.402302
346,Peter,2018,8/15/2018,15,567.13,648.62,NA,0.07,4.6,227,0,"bad reps, replaced with lower value",,
460,Peter,2019,8/29/2019,3.5,1.2,57.8,NA,7.58,15.3,241,0.05,,13.56,1729.402302
275,Paul,2024,8/19/2024,11.5,197,408.5,0,0.2,5.5,232,0,,,
177,Paul,2019,8/22/2019,0,1.78,27.1,NA,7.99,21.1,234,0.77,,6.47,326.12
347,Peter,2018,8/15/2018,16,588.58,690.15,NA,0.06,4.7,227,0,"bad reps, replaced with lower value",,
461,Peter,2019,8/29/2019,6,8.49,276.28,NA,0.22,6.6,241,0.0055,,13.56,1729.402302
462,Peter,2019,8/29/2019,9,150.42,374.15,NA,0.16,4.7,241,0,,,
463,Peter,2019,8/29/2019,11,194.25,404.56,NA,0.13,4.6,241,0,,,
464,Peter,2019,8/29/2019,13,348.88,487.69,NA,0.14,4.6,241,0,,,
178,Paul,2019,8/22/2019,2.5,1.69,29.72,NA,8.01,21.2,234,0.09,,6.47,326.12
179,Paul,2019,8/22/2019,4.5,0.81,113.21,NA,7.51,13.7,234,0.02,,6.47,326.12
180,Paul,2019,8/22/2019,6.5,3.25,210.16,NA,0.19,7.5,234,0.007,,6.47,326.12
181,Paul,2019,8/22/2019,8,64.56,306.97,NA,0.13,6,234,0.0023,,6.47,326.12
182,Paul,2019,8/22/2019,9,136.09,343.09,NA,0.22,5.6,234,0.0008,,,
183,Paul,2019,8/22/2019,10,159.78,356.16,NA,0.18,5.4,234,0,,,
184,Paul,2019,8/22/2019,11.5,203.85,364.27,NA,0.1,5.4,234,0,,,
185,Paul,2019,8/29/2019,0,1.72,36.13,NA,7.68,18.4,241,0.092,,4.33,283.64
186,Paul,2019,8/29/2019,2.5,1.77,38.63,NA,7.49,18.4,241,0.012,,4.33,283.64
187,Paul,2019,8/29/2019,4.5,0.82,112.02,NA,5.93,13.7,241,0.03,,4.33,283.64
188,Paul,2019,8/29/2019,6.5,12.46,241.74,NA,0.31,8.3,241,0.006,,4.33,283.64
189,Paul,2019,8/29/2019,8,139.53,300.29,NA,0.25,6,241,0.0018,,4.33,283.64
190,Paul,2019,8/29/2019,9,193.48,347.23,NA,0.23,5.6,241,0.002,,,
191,Paul,2019,8/29/2019,10,250.68,374.37,NA,0.21,5.5,241,0,,,
465,Peter,2019,8/29/2019,15,464.77,497.35,NA,NA,NA,241,0,,,
